,idx,class,conversation,Augmentation
481,1932,갈취 대화,"돈 좀 있냐?
없는데.
너 어제 용돈 받았다며?
나 사고 싶은 거 있어.
그게 나랑 무슨 상관인데?
아니 그래도.
나한테 줄 돈은 없다고?
응.
너 굴욕사진 단톡방에 뿌린다?
아 그건 좀.",
482,1950,갈취 대화,"야 거기 너 일로 와바
네? 저요?
너 말고 누구겠냐
저 아무것도 없어요.
쓸만 한거 다 내놔봐
저 진짜 없는데. 집도 가난해요
털어서 하나라도 나오면 죽는다
저 진짜 없어요
 진짜 화나게 하네 이건 뭐냐?
그거 드릴게요.저 좀 보내주세요","야, 거기 오빠. 이리 와
어? 저요?
당신 이외에 누구라고 생각하는가
저는 아무것도 없어요.
쓸 만한 것을 다 내놓아라
나 진짜 없는데. 집도 가난합니다
털어서 하나라도 나오면 죽는다
저는 정말 없습니다
진짜 화나게 하네, 이게 뭐야?
그거 드릴게요. 저 좀 보내주세요"
483,1954,갈취 대화,"야 나 5만 원 빌려줘라 
전에도 내가 3만 원 빌려줬잖아.
야 내가 안 준대? 한번에 갚을게 빌려줘라
아니 진짜 못 빌려줘.
너 이러기야? 내가 너 비밀 지켜줬잖아
그건 고맙지만.
야 나 다 말해버린다? 
안 돼 그건.
아니야 여기 줄게 꼭 갚아줘.
응 땡큐","이봐, 나한테 5만원 빌려 주게
전에도 내가 3만원 빌려줬잖아.
야, 내가 안 준다고? 한꺼번에 갚을 테니 빌려 주게
아니, 진짜 못 빌려줘.
너 이럴거야? 내가 너의 비밀을 지켜줬잖아
그거야 고맙지만.
야, 나 다 말해버리는데?
안 돼, 그거는.
아니야, 여기 줄게. 꼭 돌려줘.
응, 땡큐"
484,1956,갈취 대화,"어이 김꼬봉 돈 좀 있냐?
아니 얼마전에 책사고 돈이 없는데
너 주머니 뒤져서 나오면 진짜 뒤지게 맞는다
음.사실.
그래 김꼬봉이 돈 좀 있나보구나
만원.
그럼 만대만 맞고 나한테 만원 줄래??
아니 그냥 빌려줄께.
빌려? 너 불쌍한 친구한테 기부 좀 해 임마
나도 꼭 필요한거라.","야, 김고봉 돈 있어?
아니 저번에 책을 사서 돈이 없는데
당신 주머니 찾아서 나오면 정말 잘 맞는다
음, 사실은.
맞아. 김고봉은 돈이 있나보네
만원.
그럼 만대만 당첨돼서 나한테 일만원 줄 수 있어??
아니, 그냥 빌려줄게.
빌릴래? 여보 불쌍한 친구에게 기부해라
나도 꼭 필요한 거니까."
485,1959,갈취 대화,"야 너! 나 알지 빨리 튀어와
 네. 안녕하세요.
 안녕은 무슨 앞으로 맨날 나한테 쳐맞고 다닐래 아니면 지금 있는 돈이랑 폰 가지고 있는거 다 내놓을래?!
 저. 핸드폰은 봐주시면 안되나요.
 뭐라고? 야 내가 말대꾸할 정도로 만만하냐?
 아니요. 죄송합니다.
 아니긴 뭘 아니야 새끼야 니 몇반이냐?
 저 3반이요.
 앞으로 자주 보자. 니 너무 싸가지가 없다
 죄송합니다. 한번만 봐주세요.","야, 여보! 나는 알지. 빨리 달려와
네, 안녕하세요.
안녕이라고, 앞으로 항상 나한테 맞고 지낼래? 아니면 지금 있는 돈이랑 핸드폰 가지고 있는 거 다 낼래?
저 핸드폰은 봐주실 수 있나요?
뭐라고? 야, 내가 말대꾸할 만큼 안 만만해?
아니요, 죄송합니다.
아니긴 뭐가 달라, 너는 몇 반이야?
저는 3반입니다.
앞으로 자주 만나자. 너는 그다지 예의를 차리지 못한다
죄송합니다. 한번만 봐주세요."
486,1962,갈취 대화,"지은아 나 코인 노래방 가게 만원만 빌려주라
나 책사서 돈 없어.
그러지 말고 만원만 줘? 안돼?
나 진짜 용돈 받은거 없어서 그래
갚는다니깐 만원도 없어? 뻥치지말고 빌려주라
진짜 없어서 그래.
그걸 너라면 믿겠니?? 빌려달라구 좋은말할때 오천원이라도 빌려줘
진짜 없는데.
너 우리랑 같이 안 놀고 싶어? 빨리 내놔
알았어5천원 여기","지은아, 내 코인노래방을 1만원만 빌려줘
나 책을 사서 돈이 없어.
그러지 말고 1만원만 줘? 안 돼?
나 정말 용돈을 못받아서 그래 ㅎㅎ
갚는다니까 일만원도 없어? 거짓말하지 말고 빌려 주게
진짜 없어서 그래.
그것을 너라면 믿어?? 빌려 달라는 말을 할 때 오천원이라도 빌려 주게
진짜 없는데.
너 우리랑 같이 놀고 싶지 않아? 빨리 내게
알았어 5천원 여기"
487,1976,갈취 대화,"길동씨 되시죠?
네 맞는데요 누구시죠?
숨겨놓은 자식이 있으시던데.
너 이새끼 누구야
말을 그렇게 함부로 하면 안될텐데 똑똑하신 분이 왜이러실까.
하 너가 원하는게 뭐야
내일 오전 10시 역 물품보관함에 10억 준비해 자세한건 오늘 저녁 7시에 다시 얘기한다
뭘 잘못 알고 있나본데 나 그렇게 큰 돈 없어!
너가 돈이 없든 말든 상관없어. 10억이야
알겠어 알겠어","길동 씨 할 수 있죠?
네, 그렇습니다만, 누구시죠?
숨겨둔 아이가 있었는데요.
당신 이 녀석은 누구냐
말을 그렇게 함부로 하면 안 되는데 똑똑한 분이 왜 이러시는지.
하, 네가 원하는 게 뭐야
내일 오전 10시역 사물함에 10억 준비하고, 자세한 사항은 오늘 저녁 7시에 다시 얘기하겠다
뭔가 잘못된 것 같은데, 나 그렇게 큰 돈 없어!
당신이 돈이 있든 없든 상관없어. 10억이야
알았어, 알았어"
488,1977,갈취 대화,"이거 뭐야 이번에 새로나온 핸드폰아니야?
응 맞아 제트플립이라고
야 엄마가 사줬어?
아니 삼촌이 이번에 귀국하시면서 선물 못사왔다고 사주셨어
야 대박이다 니네삼촌 멋있다
그렇지?
야 이거 나주라 너는 길에서 떨어트려서 박살났다고하고 삼촌한테 하나 더 받아
어??? 이거 비싼대
글지 비싸니까 내가 내돈주고 못사서 하는 말아니야
아.안돼는데. 진짜 안돼
그래?? 너 앞으로 학교생활이 걱정안돼?? 편하게 안다니고 싶어? 이거 주면 내가 졸업때까지 너한테 잘해줄게",
489,1986,갈취 대화,"거기 길동이 부모 맞으시죠?
네 맞는데요 제 아들 이름을 어떻게 아시죠?
지금 아들이 내 옆에 있으니까 알지
제 아들이 왜 거기에 있어요 당신 누구야
돈 천만 원만 보내면 얌전히 아들 보낼게
지금 당장 큰 돈이 없어요 저희 아들 좀 안 다치게 해 줘요
천만 원보다 아들이 더 소중하지 않나? 얼른 보내야 할 텐데
저희 아들 안전한가요 목소리 좀 들려 줘요
빨리 보내 이럴수록 지체된다
네 알겠어요.","거기 길동이 부모님 맞으시죠?
네, 그렇습니다만, 제 아들의 이름을 어떻게 알고 계십니까?
지금 아들이 내 옆에 있으니까 알아
제 아들이 왜 거기 있죠 당신 누구야
돈 천만원만 보내면 순순히 아들을 보낼게
지금 당장 큰 돈이 없습니다 우리 아들을 해치지 않게 해주세요
천만원보다 아들이 더 중요하지 않아? 빨리 보내야하는데
우리 아들 안전해요? 목소리를 들려주세요
빨리 보내고 이렇게 하면 할수록 늦어져
예 알겠습니다。"
490,1989,갈취 대화,"만원만빌려줘
없어
있자나
없다니까
있는거다알아
정말이야
뺏는다
미안
넌죽었어
미안","1만원만 빌려줘
없어요
있잖아
없다니까
있는 거 다 알고 있어
정말이야
빼앗다
미안.
너는 죽었다
미안."
491,1991,갈취 대화,"어이 거기 좀 서보시지
네? 저요?
그래. 당신 말고 아무도 없잖아.
왜 그러시죠?
아 내가 주머니 사정이 안좋아서 말이지. 돈 좀 있냐?
아니요. 카드밖에 없습니다.
좋게 돈만 주면 되는 걸 일을 어렵게 만드네. 내가 뒤져서 나오면?
전 진짜 돈 없어요.
맞고 줄래? 거기 가방에 보이는 만원짜리는 그럼 종이냐?
아 그건 제 돈 아니에요.","이봐, 거기 서 봐
어? 저요?
맞아 너 말고 아무도 없잖아.
무슨 일이세요?
아, 내 주머니 사정이 좋지 않아서요. 돈 좀 있어?
아니요, 카드밖에 없어요.
좋게 돈만 주면 되는 걸 일을 어렵게 하네. 내가 찾아서 나오면?
저는 정말 돈이 없어요.
맞아줄래? 거기 가방에 보이는 1만원짜리는 그럼 종이야?
아, 그건 제 돈이 아니에요."
492,1995,갈취 대화,"돈 내놔
 누구세요
 누군지 알 거 없고 다치기 싫으면 내놔
 돈 없어요
 천호동 사는데 돈이 없어? 거짓말치지말고 안 내놓으면 이자리에서 없애버릴거야
 정말이에요 지갑을 두고왔어요
 이런 뭐를 봤나 핸드폰 내놔 그럼
 핸드폰은 안돼요
 계좌이체해서 보내 안그러면 너네엄마 죽을목숨인줄알아
 지금 보낼게요","돈을 내라
누구세요
누군지 알 것도 없고, 다치기 싫으면 꺼내
돈이 없습니다
천호동에 사는데 돈이 없어? 거짓말하지 않으면 이 자리에서 없애 주겠어
정말입니다. 지갑을 두고 왔습니다
이런 거 뭐 본 거야? 그럼 핸드폰 내놔
핸드폰은 안됩니다
계좌이체해서 보내지 않으면 너희 엄마가 죽을거야
지금 보내겠습니다"
493,2006,갈취 대화,"이사님 이 사진. 모르지 않으실텐데요?
이. 이건. 
이사님이 여기까지 오신거 다 장인어른 분 덕 아니셨어요? 별것도 없는 대 출신에서 그룹 이사 되신거 다 데릴사위로 팔려나가서 된거라고 소문이 자자하던데.
어디서 찍은거야?
그게 중요해요? 사모님도 불쌍하시지 개천에서 데려와 개룡으로 만들어놨더니 어린 여자라 바람이나 피고 말이야. 사모님이 이 사진을 보시면 얼마나 슬퍼하시겠어요.
. 원하는게 뭐야.
그렇지 눈치는 빠르셔서 좋네요. 역시 그룹 이사님은 달라고 뭐가 다르세요. 
원하는게 뭐냐고!
아 깜짝이야! 지금 저한테 소리지르실 처지에요? 
.본론만 말해. 
10억 딱 10억만 준비해주세요. 그러면 저도 건너가서 새 삶 살고 이사님도 조심하시면서 사시고. 얼마나 좋아요?","이사님, 이 사진. 모르실텐데요?
이. 이거는.
이사님이 여기까지 오신 건 다 장인어른 덕분이 아니었나요? 아무것도 없는 대학 출신에서 그룹 이사가 된 것은 모두 사위에게 팔린 것으로 좋다고 소문이 자자하더라.
어디서 찍었어?
그게 중요한가요? 아내도 불쌍하겠지. 개울에서 데려와서 모두 용으로 만들어 놓았더니 젊은 여자니까 바람을 피워버려. 부인이 이 사진을 보신다면 얼마나 슬퍼하고 있을까요?
. 뭘 갖고 싶은데.
그러게 눈치가 빨라서 좋네요. 역시 그룹 이사는 달라고 뭐가 다른가요?
뭘 원하는 거야!
아, 깜짝이야! 지금 저에게 소리를 지르는 입장입니까?
본론만 말해.
10억 딱 10억만 준비해주세요. 그러면 나도 건너가서 새로운 삶을 살고 이사님도 조심해서 살아. 얼마나 좋아요?"
494,2007,갈취 대화,"야 돈얼마있냐
누구세요?
물어보는거나 대답해
저 돈 없어요
시간끌지말고 내놔
천원 이게 다에요
있으면서 왜 없다고해 죽고싶어?
아니에요 죄송해요
앞으로 많이 가지고 다녀
네","이봐, 돈은 얼마나 있는 거야
누구세요?
묻는 것이라도 대답하고
나는 돈이 없습니다
시간 끌지 말고 내게
천원 이게 전부입니다
있는데 왜 없다면서 죽고 싶은거야?
아니에요. 미안해요
앞으로도 많이 가지고 다녀~
네。"
495,2009,갈취 대화,"야 너 이핸드폰 좋아보인다
 어. 이번에 새로 샀어
 야 그거 나 1주일만 빌려줘
 왜?
 왜는 새거 핸드폰 나도 써보자
 내껀데 니가왜.
 너 학교 생활 편하게 하기싫어?
 왜그래그래도 안되는데
 임마 빌려달라는데 왜 말이 많아 맞아야 정신을 차리지?","'여보', '이헨드폰' 좋아보여
아, 이번에 새로 샀어
그거 나한테 1주일만 빌려주고
왜?
왜냐하면 새폰 나도 써봐야겠다
내 건데 네가 왜.
너 학교생활을 편하게 하고 싶지 않니?
왜 그래도 안 되는데
야, 빌려달라는데 왜 말이 많길래 맞으면 정신을 차리냐?"
496,2015,갈취 대화,"야 니 나한테 잘못했잖아 십만원 내놔
십만원은 좀 아니지.
백만원 받아도 모자랄 판이야 장난하냐? 돈 내놓으라고 옷 살거니까
그건 안돼 나도 돈 없어.
이런 미친놈이! 니 잘못 다 소문내버린다
한번만 봐줘. 미안해 내가 다.
야 사과는 돈으로 해 입터는 거 다 소용없어
진심이야. 내가 3만원까지는 마련해볼게
거지냐? 3만원을 누구 코에 붙여 어이가 없네 지금 당장 십만원 주라고
용돈이 다음달에 들어와. 미안해.
하 진짜 짜증나는 놈 지금 3만원 내놓고 용돈 받으면 10만원 가져와라","야, 너 나한테 잘못했잖아. 10만원 내고
십만원은 좀 달라.
백만원 받아도 모자랄 판인가, 장난치는 판인가? 돈을 내라고 옷을 사니까
그러면 안 돼, 나도 돈이 없어.
이런 미친놈이! 너의 실수를 전부 소문내 버릴 거야
한 번만 봐줘. 미안해, 내가 다.
이봐, 사과는 돈으로 지불하는 것은 전부 소용없어
진심이야. 내가 3만원까지는 준비해볼게
거지? 3만원을 누구 코에다 붙여놓고 어이가 없네. 지금 당장 10만원 달라고
용돈이 다음달에 들어온다. 미안해.
이제 짜증나는 녀석 지금 3만원 내고 용돈 받으면 10만원 가져와라"
497,2018,갈취 대화,"야 너 어제 여자탈의실 몰래 훔쳐봤지?
 아니야 내가 언제
 내가 다 봤어. 어제 2층 여자탈의실 앞에서. 너 학교에 확 소문내버린다
 아니야 제발그러지마
 근데 너 그옷 좋아보인다?
 뭐?. 이 옷?.
 그래 그 옷 한번 입어보자 비싸보인다
 안돼 아빠가 사주신거야
 그래? 그럼 소문내도 상관없지? 내일부터 얼굴못들고 다니게 해줄게
 안되는데. 여기. 몇번 입고 돌려줘","야, 너 어제 여자 탈의실 몰래 훔쳐봤지?
아니, 내가 언제
내가 다 봤어. 어제 2층 여자 탈의실 앞에서. 당신 학교에 퍼뜩 소문을 내다
아니, 제발 그만해
근데 너 그 옷 좋아 보인다?
어? 이 옷?
그러게, 그 옷 입어보자. 비쌀 것 같아
안돼. 아버지가 사주셨어
그래? 그럼 소문내도 상관없겠지? 내일부터 얼굴을 들지 않도록 해 주겠다
안 되는데. 여기. 몇 번 입고 돌려줘"
498,2021,갈취 대화,"그만 만나자 나 머무 지쳤어
나 미치는 꼴 보고 싶어서 그래? 내가 죽어야 너가 정신차리지?
나 정말 너무 힘들어서 그래 그만하자
내가 잘못되면 다 너때문인줄 알아.
왜그러는거야.
내가 그냥하는 말 같아? 나 지금 옥상이야.
거길 왜 갔어. 진정하고 내려와.
헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해.
알겠어 취소할게.그러니까 옥상에서 내려와.
진작에 그랬어야지","이제 그만 만나자. 나 이제 지쳤어
나 이상한 모습이 보고 싶어? 내가 죽어야 네가 정신 차리겠지?
나 진짜 너무 힘드니까. 그만하자
내가 틀리면 다 너 때문인 것 같아.
왜 그래.
내가 그냥 하는 말이라고 생각해? 나는 지금 옥상이야.
왜 거기 갔어. 진정하고 내려와.
헤어지자는 말을 취소하고 지금 당장 죽기 전에 말해.
알겠어 취소할게. 그러니까 옥상에서 내려와.
진작에 그랬어야 했다"
499,2025,갈취 대화,"학생 잠깐 이리로 와봐.
왜 그러시죠?
요즘 부모들은 어린 애들한테도 명품 옷을 사준다고 하더니. 진짜였군.
제가 무슨 옷을 입든 무슨 상관이에요? 
학생들은 학생답게 다녀야지. 그 재킷은 오늘부로 내 거다.
싫어요. 생일선물로 겨우 받은 옷이란 말이에요.
일을 복잡하게 만드네. 험한 꼴 당하고 싶어?
. 아뇨 그치만 제가 정말 아끼는 옷인데 이번만 봐주시면 안될까요?
좋아 그럼 인심 썼다. 그 옷 대신 50만원 가져와봐.
. 엄마한테 문자할게요. 잠시만요.","학생 좀 이리 와.
무슨 일이세요?
요즘 부모들은 어린 아이들에게도 명품 옷을 사준다고 하던데. 진짜였구나.
내가 어떤 옷을 입든 무슨 상관이 있나요?
학생들은 학생답게 다녀야 한다. 그 재킷은 오늘부로 내 것이다.
싫어요. 생일 선물로 겨우 받은 옷이거든요.
일을 복잡하게 만드네. 험한 꼴을 당하고 싶다?
. 아니요, 하지만 제가 정말 아끼는 옷이라서 이번만 봐주실 수 있나요?
좋아 그럼 인심 좋게 했네. 그 옷 대신 50만원 갖다봐.
. 어머니께 메일 보낼게요. 잠깐만 기다려 주십시오."
500,2028,갈취 대화,"야 너 돈 많이 있어 보이네 
네 저 많이 없어요 왜 그러세요
시끄러 옷차림 보니 고급진게 돈많아 보이네
아니 없다니깐요
잔말 말고 내놔
살려주세요
뭐야 이놈 진짜로 없네 거지 아니야 완전
제가 말했잖아요 저 이제 가도 되죠
아니 안돼 니 옷이라도 벗어 죽기 싫으면
아니 진짜","야, 오빠. 돈이 많이 있을 것 같구나
네, 저는 그렇게 없어요. 어쩌다가 이렇게 됐어요.
시끄러운 복장을 보니 고급스러운 것이 돈이 많겠군
아니, 없다니까요
잔소리하지 말고 내게
살려주세요
뭐야, 얘. 진짜 없어. 거지 아니야, 완전
제가 말했잖아요 저는 이제 가도 돼요
아니, 안 돼. 너 옷이나 벗어 죽고싶지않으면
아니, 정말로"
501,2029,갈취 대화,"아 아줌마. 이 동네 젓가락 숟가락은 다 내꺼 쓰는거 알아 몰라?
냄새가 난다고. 손님들이 다 말씀하셔서.
손님.? 어떤 아이니? 야 시발 다 개코야? 무슨 수저에서 냄새가 난다는 거야?
아. 죄송해요.
아줌마. 나 누군지 몰라? 이 구역에서 몰라? 안되겠다. 오늘 장사 접자?
아 미안해요. 제발 그러지 마요.
다 필요없고. 돈이나 가져와. 무슨 6개월째 돈을 못 갚아?
아. 미안해요. 남편이 해외에서 돈 벌어서 내일이면 올꺼에요.
무슨 얼어죽을 남편. 그 새는 해외로 튄거라고. 죽고싶어? 이거 안되겠다. 가게라도 담보로 내놔.
아 제발요. 이러지 마세요.","아, 이모. 이 동네 젓가락하고 숟가락은 다 내꺼 쓰는거 알아?
냄새가 난다고. 손님이 다 말씀하셔서.
손님? 어떤 애? 야, 첫차는 다 개코야? 무슨 숟가락에서 냄새가 난다는 거야?
H. 죄송합니다.
이모, 나 누군지 몰라? 이 구역에서 몰라? 안 되겠다 오늘 장사는 그만할까?
아, 미안해요. 제발 그러지 마세요.
다 필요 없고. 돈이나 갖고 와. 뭐가 6개월이나 돈을 못 갚는거야?
H. 미안해요. 남편이 해외에서 돈을 벌었기 때문에 내일에는 옵니다.
얼어 죽는 남편. 그 새는 해외로 날아갔대. 죽고싶어? 이거 안 되겠다. 가게에서도 담보로 내놓아라.
아, 부탁드립니다. 하지 마세요."
502,2035,갈취 대화,"너 이거 뭐야?
새로 산 아이패드야
이쁘다 이거 나 쓸게
안돼
뭐가 안돼? 그냥 가져간다?
돌려줘.
10년 뒤에 돌려줄게
이거 없으면 아무것도 못해
빌리는것도 안돼냐??
비싸게 주고 산거야 돌려줘","오빠 이거 뭐야?
새로 산 iPad야
예쁘네. 이거 내가 쓰는
안돼
뭘 못해? 그냥 가져갈래?
돌려줘.
10년 후에 갚아 주겠다
이것이 없으면 아무것도 할 수 없다
빌리는것도 안되는거야??
비싸게 주고 산 거야. 돌려줘"
503,2036,갈취 대화,"야 마트가서 먹을것 좀 사와.
돈은요?
아 담에 줄게. 일단 사와 새끼야.
저 지금 돈이 없어요.
너 진짜 죽을래? 어디 빌어서라도 돈 벌어서 사와 새끼야. 죽기싫으면. 빨리 안 나가?
알겠어요.
확 진짜. 짜증나게. 빨리 사와
네
담배도 사와.
네","야, 마트 가서 먹을 것 좀 사와.
돈은?
엄마 줄게. 일단 사와.
저는 지금 돈이 없어요.
너 정말 죽고 싶은 거야? 어디 빌려서라도 돈 벌어서 사와. 죽고 싶지 않다면. 빨리 안 나와?
알겠어요.
진짜 짜증나. 빨리 사와
네。
담배도 사와.
네。"
504,2045,갈취 대화,"야 너 얼마있냐?
나 돈 없는데
아씨 있잖아 얼른 내놔
아니 없다고
좋은 말 할 때 안내놔? 어디서 까불어
내가 너한테 왜 줘야 하는데
오호라 이렇게 나오시겠다?
여기 만원밖에 없어
내가 너 가방 뒤진다 그러면 더 있는 거 알아
아니 진짜 만 원밖에 없다고","야, 너 얼마 있는데?
나 돈 없는데
이봐, 빨리 나가
아니, 없다고
좋은 말 할 때 안 내? 어디서 까부는거야
내가 당신에게 왜 주지않으면 안되는거야
오, 이렇게 나와요?
여기 1만원밖에 없다
제가 당신의 가방을 찾는다고 하면 더 있는건 알고있어
아니, 진짜 1만원밖에 없다고"
505,2047,갈취 대화,"우와 너 돈 진짜 많다. 나 좀 빌려주라.
이거 나 학원비야.
학원비? 그거 잃어버렸다고 하고 나 좀 줘봐.
어.? 안돼. 나 그거 오늘 내야돼.
야 신사임당 하나 빠져도 몰라. 한 장만 줘봐.
안돼.
야 다시 돌려주면 되는거 아니야. 그냥 좀 빌려줘봐.
그래도 안돼. 엄마한테 혼나.
야 어차피 몰라. 알아차리면 그땐 다시 돌려줄게 그럼 됐지?
알았어.","우와 너 돈 진짜 많다. 나 좀 빌려줘.
이거 나 학원비야.
학원비? 그거 잃어버렸다면서 나 줘.
어? 안 돼. 나 그거 오늘 내야 돼.
야, 신사임당 하나 빠져도 몰라. 하나만 줘.
안돼.
야, 다시 돌려주면 되잖아. 좀 빌려줘.
그래도 안 돼. 엄마한테 혼나.
야, 어차피 몰라. 정신 차리면 그때는 다시 갚을게. 그렇게 하면 되겠지?
알겠다."
506,2049,갈취 대화,"애 누나가 지금 너무더운데 물사먹을 돈이 없네?
네??
너 손에 든 음료수 나줄래 아니면 물사줄래?
저.저도 돈 없어요
그럼 그 음료수 나를 줘그럼 편하잖아
아.저도 목마른데
어린애가 따박따박 말대꾸하기는 너는 예의도 없니?
하.하지만.
무슨 하지만이야 너 이렇게 예의없이 다니는거 부모 얼굴에 먹칠하는거야. 얼른 누나한테 음료수 줘
.네","언니가 지금 너무 더운데 물 사먹을 돈이 없네?
네??
너 손에 든 음료를 나에게 줄래? 아니면 물 좀 사다줄래?
나. 나도 돈이 없어요
그럼 그 음료는 나 줘. 그럼 편하잖아
H.나도 목마른데
아이가 제대로 말대꾸하기에는 너는 예의도 없어?
다.그런데.
무슨 일이야. 너 이렇게 무례하게 다니는 건 부모님 얼굴에 먹칠하는 거야. 빨리 언니한테 마실 것 좀 줘
.네。"
507,2051,갈취 대화,"너 돼지 저금통에 돈 얼마나 있어
왜?
나 돈이 조금 급해서
별로 없어
저금통 나 주라
그건 안되지
금방 갚을께
나도 오래 모은거라 안되
정말 서운하게 이럴래?
이번만 주께","당신 돼지 저금통에 얼마나 많은 돈이 있나요
왜?
나 돈이 좀 급해서
별로 없어요
저금통 줘요
그것은 안 돼
곧 갚을게
나도 오랫동안 모은거라 안돼
정말 안타깝게 생각할 것이다?
이번만 줄게"
508,2057,갈취 대화,"야 어제 만원이 비더라?
미안. 용돈 많이 못 받아서. 그래도 받자마자 다 가지고 왔어.
야 집도 잘 사는 주제에 용돈이 왜이렇게 짜?
아냐 우리집. 못 살아
야 느그집 못살면 우리집은 쌉 거지라는거냐?
아.아니 그런 뜻이 아니라 진짜로 돈이 별로 없어 나도 맨날 엄마한테 부탁드려
야 그럼 이왕 부탁드리는거 더 부탁드려 존나 쪼잔하게 이거가지고 뭘하냐?
아. 얼마나 더 필요한데.?
오만원씩 더 가져와
미안. 구해볼게","야, 어제 1만원이 비어 있던데?
미안 용돈을 많이 못 받아서. 그래도 받자마자 다 챙겨왔어.
야, 집도 넉넉한 주제에 용돈이 왜 이렇게 짜냐?
아니, 우리 집. 형편없이
야, 그 집에 못 살면 우리 집은 쌀 거라는 거야?
H.아니, 그런 뜻이 아니라 진짜 돈이 별로 없어. 저도 항상 어머니께 부탁드려요
야, 그럼 이왕 부탁할 거면 더 부탁할게. 이걸로 뭐 하는 거야?
H. 얼마나 더 필요해?
5만원씩 더 가져와
미안 찾아볼게"
509,2063,갈취 대화,"어머어머 스카프 이쁘다 너
아 남자친구가 사줬어
우와 좋겠네? 능력있는 남자친구가 이런것도 사주고
아.고마워
고맙긴 뭘 나도 한번 해봐도 돼?
어?.어.
와 나한테도 잘어울리네? 역시 물건이 고급스러우니까 그런가봐?
응.
나 이거 잠깐 두르고 다녀도 되니??
응??? 그건 좀
 아왜 너는 남자친구가 이런거 자주 사주잖아 오늘만 차고 돌려줄게 나 간다","어머어머 스카프 예쁘다 여보
아 남자친구가 사준
우와, 좋은데? 능력있는 남자친구가 이런것도 사주고
H.고마워요
고맙긴 뭐야 나도 한번 해봐도 돼?
어? 어.
와 나한테도 잘 어울리는데? 역시 물건이 고급이라 그런 것 같아?
그래。
나 이거 좀 돌려도 돼??
응? 그건 좀
너는 남자친구가 이런거 잘 사주잖아. 오늘만 붙여서 돌려줄게. 나 갈게"
510,2069,갈취 대화,"손님 손님 다왔습니다
얼마에요? 깜빡 잠들었네요
4만원이요
네?? 15분 거리가 사만원이요?
네
말도 안돼요 미터기 보여주세요
보세요. 미터기
세상에 저는 못드려요
아가씨 차가 막혀서 돌아오느라 그랬어 블랙박스 보던가 주기 싫으면 절도죄로 신고할라네
.하.어제도 탔는데 이정도안나왔어요
그날그날 도로 사정이 다르니까안그요?","고객님, 고객님, 거의 다 왔습니다
얼마입니까? 깜빡 잠이 들어버렸네요
4만원 입니다
네?? 15분 거리가 사만원입니까?
네。
말도 안 돼요 미터기를 보여주세요
봐주세요。 미터
설마 저는 드릴 수 없어요
아가씨, 차가 막혀서 돌아와서 그래. 블랙박스를 보는 것도 싫으면 절도죄로 신고하라고
다.어제도 탔는데 이정도는 안나왔어요
그날 그날 도로 사정이 다르니까 알죠?"
511,2070,갈취 대화,"안녕하세요
제가 아는 분인가요
오늘부터 알게 될 거야.지갑 줘봐
무슨 말 이에요?지갑을 왜요?
말귀 못 알아듣네
지갑 줄 생각 없어요
저기 봐.나 혼자 아니야.영리하게 굴어
현금 없어요
조금 가면 기 있어.같이 가자
안돼요.","안녕하세요
제가 아는 사람입니까
오늘부터 알게 될 거야. 지갑을 줘
무슨 뜻인가요? 지갑을 왜 그래요?
말을 못 알아듣겠군
지갑을 줄 생각은 없습니다
봐봐, 나 혼자가 아니야. 영리하게 일어나라
현금이 없습니다
조금만 가면 거기 있어. 같이가자
안 돼요."
512,2071,갈취 대화,"얘야 여기 와봐봐
네 저요?
그래 너 언니가 필요한게 있는데 도와줄 수 있어?
네?? 저 학원 가봐야 하는데요
말귀를 못 알아듣네 이리와
저 가야 돼요 무서워요
아니 내가 너를 때린대? 그냥 있는 돈 좀 달라구
저 돈 없어요
너 일단 주머니 까봐 있으면 보자
이건 버스비예요 보내주세요",
